chrom	start	end	chrom_arm	bin_name
1	1	1e+06	1p	1p_1
1	1000001	2e+06	1p	1p_2
1	2000001	3e+06	1p	1p_3
1	3000001	4e+06	1p	1p_4
1	4000001	5e+06	1p	1p_5
1	5000001	6e+06	1p	1p_6
1	6000001	7e+06	1p	1p_7
1	7000001	8e+06	1p	1p_8
1	8000001	9e+06	1p	1p_9
1	9000001	1e+07	1p	1p_10
1	10000001	1.1e+07	1p	1p_11
1	11000001	1.2e+07	1p	1p_12
1	12000001	1.3e+07	1p	1p_13
1	13000001	1.4e+07	1p	1p_14
1	14000001	1.5e+07	1p	1p_15
1	15000001	1.6e+07	1p	1p_16
1	16000001	1.7e+07	1p	1p_17
1	17000001	1.8e+07	1p	1p_18
1	18000001	1.9e+07	1p	1p_19
1	19000001	2e+07	1p	1p_20
1	20000001	2.1e+07	1p	1p_21
1	21000001	2.2e+07	1p	1p_22
1	22000001	2.3e+07	1p	1p_23
1	23000001	2.4e+07	1p	1p_24
1	24000001	2.5e+07	1p	1p_25
1	25000001	2.6e+07	1p	1p_26
1	26000001	2.7e+07	1p	1p_27
1	27000001	2.8e+07	1p	1p_28
1	28000001	2.9e+07	1p	1p_29
1	29000001	3e+07	1p	1p_30
1	30000001	3.1e+07	1p	1p_31
1	31000001	3.2e+07	1p	1p_32
1	32000001	3.3e+07	1p	1p_33
1	33000001	3.4e+07	1p	1p_34
1	34000001	3.5e+07	1p	1p_35
1	35000001	3.6e+07	1p	1p_36
1	36000001	3.7e+07	1p	1p_37
1	37000001	3.8e+07	1p	1p_38
1	38000001	3.9e+07	1p	1p_39
1	39000001	4e+07	1p	1p_40
1	40000001	4.1e+07	1p	1p_41
1	41000001	4.2e+07	1p	1p_42
1	42000001	4.3e+07	1p	1p_43
1	43000001	4.4e+07	1p	1p_44
1	44000001	4.5e+07	1p	1p_45
1	45000001	4.6e+07	1p	1p_46
1	46000001	4.7e+07	1p	1p_47
1	47000001	4.8e+07	1p	1p_48
1	48000001	4.9e+07	1p	1p_49
1	49000001	5e+07	1p	1p_50
1	50000001	5.1e+07	1p	1p_51
1	51000001	5.2e+07	1p	1p_52
1	52000001	5.3e+07	1p	1p_53
1	53000001	5.4e+07	1p	1p_54
1	54000001	5.5e+07	1p	1p_55
1	55000001	5.6e+07	1p	1p_56
1	56000001	5.7e+07	1p	1p_57
1	57000001	5.8e+07	1p	1p_58
1	58000001	5.9e+07	1p	1p_59
1	59000001	6e+07	1p	1p_60
1	60000001	6.1e+07	1p	1p_61
1	61000001	6.2e+07	1p	1p_62
1	62000001	6.3e+07	1p	1p_63
1	63000001	6.4e+07	1p	1p_64
1	64000001	6.5e+07	1p	1p_65
1	65000001	6.6e+07	1p	1p_66
1	66000001	6.7e+07	1p	1p_67
1	67000001	6.8e+07	1p	1p_68
1	68000001	6.9e+07	1p	1p_69
1	69000001	7e+07	1p	1p_70
1	70000001	7.1e+07	1p	1p_71
1	71000001	7.2e+07	1p	1p_72
1	72000001	7.3e+07	1p	1p_73
1	73000001	7.4e+07	1p	1p_74
1	74000001	7.5e+07	1p	1p_75
1	75000001	7.6e+07	1p	1p_76
1	76000001	7.7e+07	1p	1p_77
1	77000001	7.8e+07	1p	1p_78
1	78000001	7.9e+07	1p	1p_79
1	79000001	8e+07	1p	1p_80
1	80000001	8.1e+07	1p	1p_81
1	81000001	8.2e+07	1p	1p_82
1	82000001	8.3e+07	1p	1p_83
1	83000001	8.4e+07	1p	1p_84
1	84000001	8.5e+07	1p	1p_85
1	85000001	8.6e+07	1p	1p_86
1	86000001	8.7e+07	1p	1p_87
1	87000001	8.8e+07	1p	1p_88
1	88000001	8.9e+07	1p	1p_89
1	89000001	9e+07	1p	1p_90
1	90000001	9.1e+07	1p	1p_91
1	91000001	9.2e+07	1p	1p_92
1	92000001	9.3e+07	1p	1p_93
1	93000001	9.4e+07	1p	1p_94
1	94000001	9.5e+07	1p	1p_95
1	95000001	9.6e+07	1p	1p_96
1	96000001	9.7e+07	1p	1p_97
1	97000001	9.8e+07	1p	1p_98
1	98000001	9.9e+07	1p	1p_99
1	99000001	1e+08	1p	1p_100
1	100000001	1.01e+08	1p	1p_101
1	101000001	1.02e+08	1p	1p_102
1	102000001	1.03e+08	1p	1p_103
1	103000001	1.04e+08	1p	1p_104
1	104000001	1.05e+08	1p	1p_105
1	105000001	1.06e+08	1p	1p_106
1	106000001	1.07e+08	1p	1p_107
1	107000001	1.08e+08	1p	1p_108
1	108000001	1.09e+08	1p	1p_109
1	109000001	1.1e+08	1p	1p_110
1	110000001	1.11e+08	1p	1p_111
1	111000001	1.12e+08	1p	1p_112
1	112000001	1.13e+08	1p	1p_113
1	113000001	1.14e+08	1p	1p_114
1	114000001	1.15e+08	1p	1p_115
1	115000001	1.16e+08	1p	1p_116
1	116000001	1.17e+08	1p	1p_117
1	117000001	1.18e+08	1p	1p_118
1	118000001	1.19e+08	1p	1p_119
1	119000001	1.2e+08	1p	1p_120
1	120000001	1.21e+08	1p	1p_121
1	121000001	1.22e+08	1p	1p_122
1	122000001	1.23e+08	1p	1p_123
1	123000001	123035433	1pq	1pq_1
1	123035434	1.24e+08	1pq	1pq_2
1	124000001	1.25e+08	1q	1q_1
1	125000001	1.26e+08	1q	1q_2
1	126000001	1.27e+08	1q	1q_3
1	127000001	1.28e+08	1q	1q_4
1	128000001	1.29e+08	1q	1q_5
1	129000001	1.3e+08	1q	1q_6
1	130000001	1.31e+08	1q	1q_7
1	131000001	1.32e+08	1q	1q_8
1	132000001	1.33e+08	1q	1q_9
1	133000001	1.34e+08	1q	1q_10
1	134000001	1.35e+08	1q	1q_11
1	135000001	1.36e+08	1q	1q_12
1	136000001	1.37e+08	1q	1q_13
1	137000001	1.38e+08	1q	1q_14
1	138000001	1.39e+08	1q	1q_15
1	139000001	1.4e+08	1q	1q_16
1	140000001	1.41e+08	1q	1q_17
1	141000001	1.42e+08	1q	1q_18
1	142000001	1.43e+08	1q	1q_19
1	143000001	1.44e+08	1q	1q_20
1	144000001	1.45e+08	1q	1q_21
1	145000001	1.46e+08	1q	1q_22
1	146000001	1.47e+08	1q	1q_23
1	147000001	1.48e+08	1q	1q_24
1	148000001	1.49e+08	1q	1q_25
1	149000001	1.5e+08	1q	1q_26
1	150000001	1.51e+08	1q	1q_27
1	151000001	1.52e+08	1q	1q_28
1	152000001	1.53e+08	1q	1q_29
1	153000001	1.54e+08	1q	1q_30
1	154000001	1.55e+08	1q	1q_31
1	155000001	1.56e+08	1q	1q_32
1	156000001	1.57e+08	1q	1q_33
1	157000001	1.58e+08	1q	1q_34
1	158000001	1.59e+08	1q	1q_35
1	159000001	1.6e+08	1q	1q_36
1	160000001	1.61e+08	1q	1q_37
1	161000001	1.62e+08	1q	1q_38
1	162000001	1.63e+08	1q	1q_39
1	163000001	1.64e+08	1q	1q_40
1	164000001	1.65e+08	1q	1q_41
1	165000001	1.66e+08	1q	1q_42
1	166000001	1.67e+08	1q	1q_43
1	167000001	1.68e+08	1q	1q_44
1	168000001	1.69e+08	1q	1q_45
1	169000001	1.7e+08	1q	1q_46
1	170000001	1.71e+08	1q	1q_47
1	171000001	1.72e+08	1q	1q_48
1	172000001	1.73e+08	1q	1q_49
1	173000001	1.74e+08	1q	1q_50
1	174000001	1.75e+08	1q	1q_51
1	175000001	1.76e+08	1q	1q_52
1	176000001	1.77e+08	1q	1q_53
1	177000001	1.78e+08	1q	1q_54
1	178000001	1.79e+08	1q	1q_55
1	179000001	1.8e+08	1q	1q_56
1	180000001	1.81e+08	1q	1q_57
1	181000001	1.82e+08	1q	1q_58
1	182000001	1.83e+08	1q	1q_59
1	183000001	1.84e+08	1q	1q_60
1	184000001	1.85e+08	1q	1q_61
1	185000001	1.86e+08	1q	1q_62
1	186000001	1.87e+08	1q	1q_63
1	187000001	1.88e+08	1q	1q_64
1	188000001	1.89e+08	1q	1q_65
1	189000001	1.9e+08	1q	1q_66
1	190000001	1.91e+08	1q	1q_67
1	191000001	1.92e+08	1q	1q_68
1	192000001	1.93e+08	1q	1q_69
1	193000001	1.94e+08	1q	1q_70
1	194000001	1.95e+08	1q	1q_71
1	195000001	1.96e+08	1q	1q_72
1	196000001	1.97e+08	1q	1q_73
1	197000001	1.98e+08	1q	1q_74
1	198000001	1.99e+08	1q	1q_75
1	199000001	2e+08	1q	1q_76
1	200000001	2.01e+08	1q	1q_77
1	201000001	2.02e+08	1q	1q_78
1	202000001	2.03e+08	1q	1q_79
1	203000001	2.04e+08	1q	1q_80
1	204000001	2.05e+08	1q	1q_81
1	205000001	2.06e+08	1q	1q_82
1	206000001	2.07e+08	1q	1q_83
1	207000001	2.08e+08	1q	1q_84
1	208000001	2.09e+08	1q	1q_85
1	209000001	2.1e+08	1q	1q_86
1	210000001	2.11e+08	1q	1q_87
1	211000001	2.12e+08	1q	1q_88
1	212000001	2.13e+08	1q	1q_89
1	213000001	2.14e+08	1q	1q_90
1	214000001	2.15e+08	1q	1q_91
1	215000001	2.16e+08	1q	1q_92
1	216000001	2.17e+08	1q	1q_93
1	217000001	2.18e+08	1q	1q_94
1	218000001	2.19e+08	1q	1q_95
1	219000001	2.2e+08	1q	1q_96
1	220000001	2.21e+08	1q	1q_97
1	221000001	2.22e+08	1q	1q_98
1	222000001	2.23e+08	1q	1q_99
1	223000001	2.24e+08	1q	1q_100
1	224000001	2.25e+08	1q	1q_101
1	225000001	2.26e+08	1q	1q_102
1	226000001	2.27e+08	1q	1q_103
1	227000001	2.28e+08	1q	1q_104
1	228000001	2.29e+08	1q	1q_105
1	229000001	2.3e+08	1q	1q_106
1	230000001	2.31e+08	1q	1q_107
1	231000001	2.32e+08	1q	1q_108
1	232000001	2.33e+08	1q	1q_109
1	233000001	2.34e+08	1q	1q_110
1	234000001	2.35e+08	1q	1q_111
1	235000001	2.36e+08	1q	1q_112
1	236000001	2.37e+08	1q	1q_113
1	237000001	2.38e+08	1q	1q_114
1	238000001	2.39e+08	1q	1q_115
1	239000001	2.4e+08	1q	1q_116
1	240000001	2.41e+08	1q	1q_117
1	241000001	2.42e+08	1q	1q_118
1	242000001	2.43e+08	1q	1q_119
1	243000001	2.44e+08	1q	1q_120
1	244000001	2.45e+08	1q	1q_121
1	245000001	2.46e+08	1q	1q_122
1	246000001	2.47e+08	1q	1q_123
1	247000001	2.48e+08	1q	1q_124
1	248000001	2.49e+08	1q	1q_125
1	249000001	249250621	1q	1q_126
2	1	1e+06	2p	2p_1
2	1000001	2e+06	2p	2p_2
2	2000001	3e+06	2p	2p_3
2	3000001	4e+06	2p	2p_4
2	4000001	5e+06	2p	2p_5
2	5000001	6e+06	2p	2p_6
2	6000001	7e+06	2p	2p_7
2	7000001	8e+06	2p	2p_8
2	8000001	9e+06	2p	2p_9
2	9000001	1e+07	2p	2p_10
2	10000001	1.1e+07	2p	2p_11
2	11000001	1.2e+07	2p	2p_12
2	12000001	1.3e+07	2p	2p_13
2	13000001	1.4e+07	2p	2p_14
2	14000001	1.5e+07	2p	2p_15
2	15000001	1.6e+07	2p	2p_16
2	16000001	1.7e+07	2p	2p_17
2	17000001	1.8e+07	2p	2p_18
2	18000001	1.9e+07	2p	2p_19
2	19000001	2e+07	2p	2p_20
2	20000001	2.1e+07	2p	2p_21
2	21000001	2.2e+07	2p	2p_22
2	22000001	2.3e+07	2p	2p_23
2	23000001	2.4e+07	2p	2p_24
2	24000001	2.5e+07	2p	2p_25
2	25000001	2.6e+07	2p	2p_26
2	26000001	2.7e+07	2p	2p_27
2	27000001	2.8e+07	2p	2p_28
2	28000001	2.9e+07	2p	2p_29
2	29000001	3e+07	2p	2p_30
2	30000001	3.1e+07	2p	2p_31
2	31000001	3.2e+07	2p	2p_32
2	32000001	3.3e+07	2p	2p_33
2	33000001	3.4e+07	2p	2p_34
2	34000001	3.5e+07	2p	2p_35
2	35000001	3.6e+07	2p	2p_36
2	36000001	3.7e+07	2p	2p_37
2	37000001	3.8e+07	2p	2p_38
2	38000001	3.9e+07	2p	2p_39
2	39000001	4e+07	2p	2p_40
2	40000001	4.1e+07	2p	2p_41
2	41000001	4.2e+07	2p	2p_42
2	42000001	4.3e+07	2p	2p_43
2	43000001	4.4e+07	2p	2p_44
2	44000001	4.5e+07	2p	2p_45
